Disease,Title,Journal,Year,PMID
THE EFFECT OF LOW MOLECULAR WEIGHT HEPARIN SODIUM IN THE TREATMENT OF ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE COMORBID WITH PULMONARY HEART DISEASE,THE EFFECT OF LOW MOLECULAR WEIGHT HEPARIN SODIUM IN THE TREATMENT OF ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE COMORBID WITH PULMONARY HEART DISEASE ON PROMOTING THE BALANCE OF BLOOD VESSELS.,Georgian medical news,2024,39441285
Based Remote Programming for Deep Brain Stimulation in Parkinson Disease,Comparison of the Burdens and Attitudes Between Standard and Web-Based Remote Programming for Deep Brain Stimulation in Parkinson Disease: Survey Study.,JMIR aging,2024,39441208
comparisons to immune system dysregulations in bipolar disorder,"Conventional and new immunotherapies for immune system dysregulation in postpartum mood disorders: comparisons to immune system dysregulations in bipolar disorder, major depression and postpartum autoimmune thyroid disease.",Expert review of clinical immunology,2024,39441185
major depression and postpartum autoimmune thyroid disease,"Conventional and new immunotherapies for immune system dysregulation in postpartum mood disorders: comparisons to immune system dysregulations in bipolar disorder, major depression and postpartum autoimmune thyroid disease.",Expert review of clinical immunology,2024,39441185
stage renal disease and without known heart disease,Changes in echocardiographic parameters after hemodialysis session in a North African pediatric population with end-stage renal disease and without known heart disease.,La Tunisie medicale,2024,39441160
FDG Uptake in Phosphoglyceride Crystal Deposition Disease,High 18F-FDG Uptake in Phosphoglyceride Crystal Deposition Disease of the Humerus Mimicking Chondrosarcoma.,Clinical nuclear medicine,2024,39441105
A levels in periodontitis patients with coronary artery disease,Improvement of salivary biomarkers vitronectin and fetuin-A levels in periodontitis patients with coronary artery disease post scaling and root planing.,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",2024,39441078
s Disease,Expanding the Phenotype of Extremely Early Onset Juvenile Huntington's Disease: A Case Report and Review of Previously Published Cases.,American journal of medical genetics. Part A,2024,39441074
Degradation Contributes to Mitochondrial Injury in Renal Tubular Cells in Diabetic Kidney Disease,RBBP6-Mediated ERRα Degradation Contributes to Mitochondrial Injury in Renal Tubular Cells in Diabetic Kidney Disease.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024,39441040
s disease,"Longitudinal association of depressive symptoms with cognition and neuroimaging biomarkers in cognitively unimpaired older adults, mild cognitive impairment, and Alzheimer's disease.","Cerebral cortex (New York, N.Y. : 1991)",2024,39441024
Coordinating cellular responses in health and disease,Stress granules and organelles: Coordinating cellular responses in health and disease.,Protein & cell,2024,39441015
Term Exposure to Arsenic in Community Water Supplies and Risk of Cardiovascular Disease,Long-Term Exposure to Arsenic in Community Water Supplies and Risk of Cardiovascular Disease among Women in the California Teachers Study.,Environmental health perspectives,2024,39440943
Alleviating vascular calcification with Bushen Huoxue formula in rats with chronic kidney disease,Alleviating vascular calcification with Bushen Huoxue formula in rats with chronic kidney disease by inhibiting the PTEN/PI3K/AKT signaling pathway through exosomal microRNA-32.,The Journal of pharmacy and pharmacology,2024,39440885
Integration of social science research within international infectious disease,Looking beyond effectiveness: Integration of social science research within international infectious disease research in primary care.,The European journal of general practice,2024,39440849
s disease,Pathway enrichment in genome-wide analysis of longitudinal Alzheimer's disease biomarker endophenotypes.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024,39440837
s disease,Gut microbiome-derived metabolites in Alzheimer's disease: Regulation of immunity and potential for therapeutics.,Immunological reviews,2024,39440834
A Novel Urine DNA Predictor for Noninvasive Early Diagnosis and Monitoring Minimal Residual Disease,A Novel Urine DNA Predictor for Noninvasive Early Diagnosis and Monitoring Minimal Residual Disease of Upper Tract Urothelial Carcinoma.,Cancer medicine,2024,39440792
Factors Associated with Axial Spondyloarthritis Remission in a Cohort of Saudi Patients with Longstanding Disease,Factors Associated with Axial Spondyloarthritis Remission in a Cohort of Saudi Patients with Longstanding Disease: A Multicenter Prospective Cohort Study.,Current rheumatology reviews,2024,39440784
s Disease,"Multiple Machine Learning Models, Molecular Subtyping and Singlecell Analysis Identify PANoptosis-related Core Genes and their Association with Subtypes in Crohn's Disease.",Current medicinal chemistry,2024,39440782
s Disease,Novel Emerging Targets Identification in Reducing Risk of Alzheimer's Disease.,Central nervous system agents in medicinal chemistry,2024,39440771
Multivessel coronary disease,Multivessel coronary disease in a young patient with sarcoidosis: A case report.,Kardiologia polska,2024,39440749
An unexpected finding during diagnosis of coronary artery disease,Large coronary artery fistulas: An unexpected finding during diagnosis of coronary artery disease.,Kardiologia polska,2024,39440745
citrullination predict disease,Enhanced complement consumption and histone H3 citrullination predict disease severity and early mortality risk in non-high-risk pulmonary embolism.,Kardiologia polska,2024,39440744
guided revascularisation in coronary artery disease,Fractional flow reserve versus solely angiography-guided revascularisation in coronary artery disease. Systematic review and meta-analysis.,Kardiologia polska,2024,39440741
Efficacy and Safety of Sarpogrelate on Symptom Improvement in Patients with Peripheral Arterial Disease,"Efficacy and Safety of Sarpogrelate on Symptom Improvement in Patients with Peripheral Arterial Disease (PAD) and/or Being at Risk of PAD: A Single Arm, Multi-Centered, Open-Label Trial.",Current vascular pharmacology,2024,39440727
s Disease,"The Alzheimer's Disease Neuroimaging Initiative-4 (ADNI-4) Engagement Core: A culturally informed, community-engaged research (CI-CER) model to advance brain health equity.",Alzheimer's & dementia : the journal of the Alzheimer's Association,2024,39440702
Association between atherosclerotic disease,Association between atherosclerotic disease and cervical artery dissection in a population-based cohort of older people.,Annals of clinical and translational neurology,2024,39440642
Vesicle Nanohybrid Therapeutic for Effective Treatment of Inflammatory Intraocular Disease,In Situ Crystallized Ceria-Vesicle Nanohybrid Therapeutic for Effective Treatment of Inflammatory Intraocular Disease.,Advanced healthcare materials,2024,39440628
s Disease,Multiomics Resolves Regulatory Mechanisms in a Diverse Cohort of Crohn's Disease.,Journal of Crohn's & colitis,2024,39440614
Altered epigenetic landscape as infectious disease,Altered epigenetic landscape as infectious disease diagnostics.,Epigenomics,2024,39440607
Emergency department intravenous fluid resuscitation and renal outcomes among adults with sickle cell disease,Emergency department intravenous fluid resuscitation and renal outcomes among adults with sickle cell disease.,American journal of hematology,2024,39440574
Fulminant leptomeningeal disease,Fulminant leptomeningeal disease diagnosed as comutant H3F3A and FGFR diffuse midline glioma.,Annals of clinical and translational neurology,2024,39440520
Natural history of valve disease,Natural history of valve disease in patients with mucopolysaccharidosis II and the impact of enzyme replacement therapy.,Journal of inherited metabolic disease,2024,39440439
Similarities and differences between interstitial lung disease,Similarities and differences between interstitial lung disease associated with rheumatoid arthritis and systemic sclerosis-A retrospective cohort study.,International journal of rheumatic diseases,2024,39440430
Epidemiological investigation support application and user evaluation based on infectious disease,Epidemiological investigation support application and user evaluation based on infectious disease self-management model in the endemic era.,Health informatics journal,2024,39440427
Functional status following pulmonary rehabilitation in people with interstitial lung disease,Functional status following pulmonary rehabilitation in people with interstitial lung disease: A systematic review and meta-analysis.,Chronic respiratory disease,2024,39440394
Impact of an Adult Congenital Heart Disease,Impact of an Adult Congenital Heart Disease Order Set in a Pediatric Cardiac Intensive Care Unit.,World journal for pediatric & congenital heart surgery,2024,39440354
s disease,Risk factors for 3-year mortality in selected patients with Parkinson's disease from a Romanian cohort.,Journal of medicine and life,2024,39440343
A short history of sarcopenia and frailty and their impact on advanced chronic liver disease,A short history of sarcopenia and frailty and their impact on advanced chronic liver disease.,Journal of medicine and life,2024,39440333
s disease,Axonal damage and inflammation response are biological correlates of decline in small-world values: a cohort study in autosomal dominant Alzheimer's disease.,Brain communications,2024,39440304
Stage Renal Disease and Acute Coronary Syndrome,High Fibrinogen Levels with Diabetes Mellitus are Associated with All-Cause and Cardiovascular Mortality in Patients with End-Stage Renal Disease and Acute Coronary Syndrome.,Journal of inflammation research,2024,39440271
cell multiomics in neurodegenerative disease,Bibliometric and visual analysis of single-cell multiomics in neurodegenerative disease arrest studies.,Frontiers in neurology,2024,39440247
Antitrypsin Deficiency Patients with and without Lung Disease,Liver Characterization of a Cohort of Alpha-1 Antitrypsin Deficiency Patients with and without Lung Disease.,Journal of clinical and translational hepatology,2024,39440224
associated Steatotic Liver Disease,High Levels of Vitamin C Intake Modify Effects of Phthalates on Metabolic Dysfunction-associated Steatotic Liver Disease: A Nationally Representative Study.,Journal of clinical and translational hepatology,2024,39440222
Invasive Ultrasound Diagnostic Techniques for Steatotic Liver Disease,"Non-Invasive Ultrasound Diagnostic Techniques for Steatotic Liver Disease and Focal Liver Lesions: 2D, Colour Doppler, 3D, Two-Dimensional Shear Wave Elastography (2D-SWE), and Ultrasound-Guided Attenuation Parameter (UGAP).",Cureus,2024,39440161
Wilson Disease,"Unusual Confluence: Exploring the Association of Biliary Atresia, Wilson Disease, and Iron Overload.",ACG case reports journal,2024,39440108
term clinical outcomes in patients with hypertrophic cardiomyopathy versus hypertensive heart disease,Long-term clinical outcomes in patients with hypertrophic cardiomyopathy versus hypertensive heart disease.,Proceedings (Baylor University. Medical Center),2024,39440076
associated steatotic liver disease,Chinese herbal formula in the treatment of metabolic dysfunction-associated steatotic liver disease: current evidence and practice.,Frontiers in medicine,2024,39440040
a systematic review of technological innovations in disease,Digital approaches in post-COVID healthcare: a systematic review of technological innovations in disease management.,Biology methods & protocols,2024,39440031
Exploring the Relationship Between Different Obesity Metabolism Indices and Hyperuricemia in Patients with Hypertension and Coronary Heart Disease,Exploring the Relationship Between Different Obesity Metabolism Indices and Hyperuricemia in Patients with Hypertension and Coronary Heart Disease.,"Diabetes, metabolic syndrome and obesity : targets and therapy",2024,39440026
Extracellular vesicles and interstitial lung disease,Extracellular vesicles and interstitial lung disease in systemic sclerosis: State of the art!,Rheumatology and immunology research,2024,39439979
A new autoimmune rheumatic disease,MIP-C: A new autoimmune rheumatic disease concomitant with the COVID-19 pandemic.,Rheumatology and immunology research,2024,39439977
CT as an emerging diagnostic modality in interstitial lung disease,Fibroblast activation protein inhibitor PET/CT as an emerging diagnostic modality in interstitial lung disease and other fibrotic conditions.,Rheumatology and immunology research,2024,39439976
Pathogenesis of interstitial lung disease,Pathogenesis of interstitial lung disease in systemic sclerosis.,Rheumatology and immunology research,2024,39439973
associated interstitial lung disease,Systemic sclerosis-associated interstitial lung disease: How to manage in 2024?,Rheumatology and immunology research,2024,39439972
Feasibility of ctDNA in detecting minimal residual disease,Feasibility of ctDNA in detecting minimal residual disease and predicting recurrence for colorectal cancer liver metastases.,Frontiers in oncology,2024,39439963
s disease,"Computational exploration of acefylline derivatives as MAO-B inhibitors for Parkinson's disease: insights from molecular docking, DFT, ADMET, and molecular dynamics approaches.",Frontiers in chemistry,2024,39439933
s disease,"Evaluating dysphagia in Alzheimer's disease: the significance of age and medical comorbidities,a cross-sectional study from a tertiary psychiatric hospital in Guangzhou China.",Frontiers in psychiatry,2024,39439912
s disease,Worldwide research trends in Crohn's disease treatment over the past 2 decades: a bibliometric analysis.,Frontiers in pharmacology,2024,39439890
A case of cytomegalovirus cystic lung disease,A case of cytomegalovirus cystic lung disease and review of literature.,Respirology case reports,2024,39439885
T cell immunity without affecting disease,Inhaled GM-CSF administered during ongoing pneumovirus infection alters myeloid and CD8 T cell immunity without affecting disease outcome.,Frontiers in immunology,2024,39439800
from molecular mechanisms to disease,Immunologic aspects of asthma: from molecular mechanisms to disease pathophysiology and clinical translation.,Frontiers in immunology,2024,39439788
Familial Mediterranean Fever Disease,"Gut <i>Akkermansia muciniphila</i>, <i>Prevotellaceae</i>, and <i>Enterobacteriaceae</i> spp. as Possible Markers in Women-Related Nutritional and Clinical Trials: Familial Mediterranean Fever Disease.","Women's health reports (New Rochelle, N.Y.)",2024,39439767
Role of mobile health applications in prevention and detection of pandemic disease,Role of mobile health applications in prevention and detection of pandemic disease: A population perspective.,Digital health,2024,39439725
A review of proposed mechanisms for neurodegenerative disease,A review of proposed mechanisms for neurodegenerative disease.,Frontiers in aging neuroscience,2024,39439710
Residual cardiovascular disease,Residual cardiovascular disease risk in heart failure patients. What is the real role of lipid-lowering therapy?,Archives of medical science : AMS,2024,39439700
Nutritional burden from the global burden of disease,Nutritional burden from the global burden of disease.,Archives of medical science : AMS,2024,39439698
and its impact on cardiovascular disease,Lipoprotein(a) and its impact on cardiovascular disease - the Polish perspective: design and first results of the Zabrze-Lipoprotein(a) Registry.,Archives of medical science : AMS,2024,39439677
induced airway inflammation in chronic obstructive pulmonary disease,Elevated expression of NLRP3 promotes cigarette smoke-induced airway inflammation in chronic obstructive pulmonary disease.,Archives of medical science : AMS,2024,39439673
weight infants with congenital heart disease,Right subaxillary small incision on low-age and low-weight infants with congenital heart disease.,Frontiers in cardiovascular medicine,2024,39439666
Fujimoto Disease,Spectrum of Kikuchi-Fujimoto Disease: A 10-Year Study in a Tertiary Care Centre in South India.,Cureus,2024,39439650
s disease,Biermer's disease unveiled: Bilateral macular hemorrhage as a rare manifestation-A case report.,SAGE open medical case reports,2024,39439594
alcoholic fatty liver disease,Advancing non-alcoholic fatty liver disease prediction: a comprehensive machine learning approach integrating SHAP interpretability and multi-cohort validation.,Frontiers in endocrinology,2024,39439566
s Disease,"""Ups and Downs, Joys and Sorrows"" - Assessment and Clinical Relevance of Patient Priorities in an Interdisciplinary Parkinson's Disease Clinic.",Journal of patient-centered research and reviews,2024,39439538
aspirin alone in chronic stable cardiovascular disease,Health-related quality of life with rivaroxaban plus aspirin vs. aspirin alone in chronic stable cardiovascular disease: Cardiovascular Outcomes for People Using Anticoagulation Strategies (COMPASS) trial.,European heart journal open,2024,39439530
disease,"Effects of Immunotoxicity biomarkers, essential elements and vitamin D levels on the severity levels of COVID-19 disease in Turkey.",Toxicology research,2024,39439527
s disease,Implication of nutrition in severity of symptoms and treatments in quality of life in Parkinson's disease: a systematic review.,Frontiers in nutrition,2024,39439525
Cardiometabolic factors and vitamin D deficiency in pediatric patients with chronic kidney disease,Cardiometabolic factors and vitamin D deficiency in pediatric patients with chronic kidney disease.,Frontiers in nutrition,2024,39439522
Induced Intestinal Barrier Dysfunction in Chronic Kidney Disease,Resveratrol Mitigates Uremic Toxin-Induced Intestinal Barrier Dysfunction in Chronic Kidney Disease by Promoting Mitophagy and Inhibiting Apoptosis Pathways.,International journal of medical sciences,2024,39439463
associations with disease,Automated mental health screening in pediatric lupus: associations with disease features and treatment.,Frontiers in pediatrics,2024,39439445
Exploring the Therapeutic Potential of Vitamin D in Kawasaki Disease,Exploring the Therapeutic Potential of Vitamin D in Kawasaki Disease and Its Interplay with the COVID-19.,Turkish archives of pediatrics,2024,39439407
Nanotechnology for Targeted Inflammatory Bowel Disease,Nanotechnology for Targeted Inflammatory Bowel Disease Therapy: Challenges and Opportunities.,Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,2024,39439396
s disease,Reductions in the white-gray functional connectome in preclinical Alzheimer's disease and their associations with amyloid and cognition.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024,39439365
Prevention strategy for invasive meningococcal disease,[Prevention strategy for invasive meningococcal disease].,La Revue du praticien,2024,39439348
Recent evolution of the epidemiology and burden of invasive meningococal disease,[Recent evolution of the epidemiology and burden of invasive meningococal disease].,La Revue du praticien,2024,39439345
Parkinson disease,[Parkinson disease].,La Revue du praticien,2024,39439337
s disease,"[Intracardiac thrombosis, a rare complication of Behçet's disease].",La Revue du praticien,2024,39439333
Results from the Global Burden of Disease,"The global, regional, and national burden of myocarditis in 204 countries and territories, 1990-2021: Results from the Global Burden of Disease Study 2021.",European journal of heart failure,2024,39439264
s disease,Assessing clinical progression measures in Alzheimer's disease trials: A systematic review and meta-analysis.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024,39439251
The Impact of Socioeconomic and Ethnic Factors on Chronic Liver Disease,Editorial: The Impact of Socioeconomic and Ethnic Factors on Chronic Liver Disease-Author's Reply.,Alimentary pharmacology & therapeutics,2024,39439220
The Impact of Socioeconomic and Ethnic Factors on Chronic Liver Disease,Editorial: The Impact of Socioeconomic and Ethnic Factors on Chronic Liver Disease.,Alimentary pharmacology & therapeutics,2024,39439215
s disease,Comparative brain metabolomics reveals shared and distinct metabolic alterations in Alzheimer's disease and progressive supranuclear palsy.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024,39439201
based workflow for predicting transplant outcomes in patients with sickle cell disease,A machine learning-based workflow for predicting transplant outcomes in patients with sickle cell disease.,British journal of haematology,2024,39439193
The effects of conjugated linoleic acid supplementation on cardiovascular risk factors in patients at risk of cardiovascular disease,The effects of conjugated linoleic acid supplementation on cardiovascular risk factors in patients at risk of cardiovascular disease: A GRADE-assessed systematic review and dose-response meta-analysis.,The British journal of nutrition,2024,39439191
Clinical Manifestations and Adverse Cardiovascular Events in Patients with Cardiovascular Symptoms after mRNA Coronavirus Disease,Clinical Manifestations and Adverse Cardiovascular Events in Patients with Cardiovascular Symptoms after mRNA Coronavirus Disease 2019 Vaccines.,Yonsei medical journal,2024,39439166
Inhibitor for the Treatment of Pompe Disease,"First-in-Human Evaluation of Safety, Pharmacokinetics and Muscle Glycogen Lowering of a Novel Glycogen Synthase 1 Inhibitor for the Treatment of Pompe Disease.",Clinical pharmacology and therapeutics,2024,39439155
A qualitative study of the emotional experiences of family carers currently supporting people living with motor neurone disease,Navigating an emotional journey: A qualitative study of the emotional experiences of family carers currently supporting people living with motor neurone disease - CORRIGENDUM.,Palliative & supportive care,2024,39439088
Thyroid Eye Disease,Thyroid Eye Disease: Multidisciplinary Management of Ocular Surface Disease and Considerations for Cataract/Refractive Surgery.,Journal of cataract and refractive surgery,2024,39439065
Multidisciplinary Management of Ocular Surface Disease,Thyroid Eye Disease: Multidisciplinary Management of Ocular Surface Disease and Considerations for Cataract/Refractive Surgery.,Journal of cataract and refractive surgery,2024,39439065
inhibitors in the treatment of chronic kidney disease,Cost-effectiveness of sodium-glucose cotransporter 2 inhibitors in the treatment of chronic kidney disease: a systematic review.,Expert review of pharmacoeconomics & outcomes research,2024,39439038
s disease,A minimally invasive biomarker for sensitive and accurate diagnosis of Parkinson's disease.,Acta neuropathologica communications,2024,39439002
Development and validation of a nomogram to predict the risk of adjacent segment disease,Development and validation of a nomogram to predict the risk of adjacent segment disease after transforaminal lumbar interbody fusion in patients with lumbar degenerative diseases.,Journal of orthopaedic surgery and research,2024,39438978
related quality of life and disease,Uncertainties in evaluating the health-related quality of life and disease burden of people with rare diseases and their caregivers in NICE HST submissions.,Orphanet journal of rare diseases,2024,39438971
The effect of coaching on health information literacy in patients with chronic kidney disease,The effect of coaching on health information literacy in patients with chronic kidney disease: a randomized controlled trial.,Trials,2024,39438959
a cardiovascular disease,"Process evaluation findings from Strong Hearts, Healthy Communities 2.0: a cardiovascular disease prevention intervention for rural women.",The international journal of behavioral nutrition and physical activity,2024,39438920
sectional scanning increases detection rate of congenital heart disease,Dynamic sequential cross-sectional scanning increases detection rate of congenital heart disease in sonographers: a prenatal ultrasound training program.,BMC medical education,2024,39438914
stage kidney disease,Effect of hemodiafiltration and hemodialysis on mortality of patients with end-stage kidney disease: a meta-analysis.,BMC nephrology,2024,39438899
s disease,Is the identification of caseating granuloma in the intestine indicative of tuberculosis? a rare case of Crohn's disease.,Diagnostic pathology,2024,39438897
Biological aging mediates the association between volatile organic compounds and cardiovascular disease,Biological aging mediates the association between volatile organic compounds and cardiovascular disease.,BMC public health,2024,39438892
Readiness to manage Ebola Virus Disease,Readiness to manage Ebola Virus Disease among emergency healthcare workers in Uganda: a nationwide multicenter survey.,BMC health services research,2024,39438890
or coronary heart disease,Publisher Correction: Patients' and stakeholders' experiences of a personalized self-management SUPport program (P-SUP) for patients with type 2 diabetes mellitus and/or coronary heart disease: a qualitative process evaluation.,BMC public health,2024,39438889
reactive protein in predicting the prognosis of coronary heart disease,The combined effects of depression or anxiety with high-sensitivity C-reactive protein in predicting the prognosis of coronary heart disease patients.,BMC psychiatry,2024,39438827
TRANscranial direct current stimulation for FOcal Refractory epilepsy in mitochondrial disease,"TRANscranial direct current stimulation for FOcal Refractory epilepsy in mitochondrial disease (TRANSFORM): delayed-start, randomised, double-blinded, placebo-controlled study.",BMC neurology,2024,39438822
polymorphisms with Kawasaki disease,Associations of the <i>HMGB1</i> rs1412125 and rs2249825 polymorphisms with Kawasaki disease.,Cardiology in the young,2024,39438774
and the risk of kidney stone disease,"Air pollutants, residential greenspace, and the risk of kidney stone disease: a large prospective cohort study from the UK Biobank.",Journal of exposure science & environmental epidemiology,2024,39438733
The association of increased incidence of congenital heart disease,The association of increased incidence of congenital heart disease in newborns with maternal COVID-19 infection during pregnancy.,Scientific reports,2024,39438695
tumour necrosis factor treatment in inflammatory bowel disease,A longitudinal single-cell atlas of anti-tumour necrosis factor treatment in inflammatory bowel disease.,Nature immunology,2024,39438660
An efficient enhanced stacked auto encoder assisted optimized deep neural network for forecasting Dry Eye Disease,An efficient enhanced stacked auto encoder assisted optimized deep neural network for forecasting Dry Eye Disease.,Scientific reports,2024,39438634
alcoholic fatty liver disease,The association between the non-high-density lipoprotein cholesterol to high-density lipoprotein cholesterol ratio and non-alcoholic fatty liver disease in US adults: a cross-sectional study.,Scientific reports,2024,39438585
Comorbidities confound metabolomics studies of human disease,Comorbidities confound metabolomics studies of human disease.,Scientific reports,2024,39438584
Ruxolitinib plus steroids for acute graft versus host disease,"Ruxolitinib plus steroids for acute graft versus host disease: a multicenter, randomized, phase 3 trial.",Signal transduction and targeted therapy,2024,39438467
functionalized cationic niosomes for prolonged retention and therapeutic efficacy in dry eye disease,Development of FK506-loaded maleimide-functionalized cationic niosomes for prolonged retention and therapeutic efficacy in dry eye disease.,Drug delivery and translational research,2024,39438428
an analysis from the global burden of disease,Worldwide prevalence of chagas cardiomyopathy-an analysis from the global burden of disease dataset.,Infection,2024,39438417
s Disease,Progression of Crohn's Disease in Newly Diagnosed Patients: Results from an Observational Study Using US Claims Data.,Digestive diseases and sciences,2024,39438411
and the early history of disease,"Of rats and children: plague, malaria, and the early history of disease reservoirs (1898-1930).",History and philosophy of the life sciences,2024,39438398
s Disease,Connexin43 Contributes to Alzheimer's Disease by Promoting the Mitochondria-Associated Membrane-Related Autophagy Inhibition.,Molecular neurobiology,2024,39438345
Associated Interstitial Lung Disease,Nerandomilast Improves Bleomycin-Induced Systemic Sclerosis-Associated Interstitial Lung Disease in Mice by Regulating the TGF-β1 Pathway.,Inflammation,2024,39438343
alcoholic fatty liver disease,Increased inter-atrial and intra-atrial conduction times in pediatric patients with non-alcoholic fatty liver disease.,European journal of pediatrics,2024,39438332
associated steatotic liver disease,Longitudinal evaluation of pediatric and young adult metabolic dysfunction-associated steatotic liver disease defined by MR elastography.,European radiology,2024,39438331
an independent prognostic factor that complements minimal residual disease,"Immunoparesis recovery in newly diagnosed transplant ineligible multiple myeloma patients, an independent prognostic factor that complements minimal residual disease.",Annals of hematology,2024,39438321
s disease,3T-3D FLAIR MRI in Menière's disease: associated profiles with clinical symptoms and electroacoustic characteristics.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,2024,39438294
Enhanced Digital Mammography for the Diagnosis and Determination of Extent of Disease,Contrast-Enhanced Digital Mammography for the Diagnosis and Determination of Extent of Disease in Invasive Lobular Carcinoma: Our Experience and Literature Review.,Journal of computer assisted tomography,2024,39438277
associated foodborne disease,"Fresh produce-associated foodborne disease outbreaks in Australia, 2001 to 2017.",Communicable diseases intelligence (2018),2024,39438260
Risk factors and disease,Risk factors and disease trajectories of recurrent immune thrombocytopenia in children.,British journal of haematology,2024,39438259
s Disease,Microbial and Transcriptomic Landscape Associated With Neutrophil Extracellular Traps in Perianal Fistulizing Crohn's Disease.,Inflammatory bowel diseases,2024,39438255
Novel metabolic indicators and the risk of cardiovascular disease,Novel metabolic indicators and the risk of cardiovascular disease in patients with hypertension: A primary-care cohort study.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2024,39438230
Unraveling the intricacies of neutrophil extracellular traps in inflammatory bowel disease,"Unraveling the intricacies of neutrophil extracellular traps in inflammatory bowel disease: Pathways, biomarkers, and promising therapies.",Cytokine & growth factor reviews,2024,39438227
Distinct roles of MIF in the pathogenesis of ischemic heart disease,Distinct roles of MIF in the pathogenesis of ischemic heart disease.,Cytokine & growth factor reviews,2024,39438226
Age drives the impact of vascular disease,Age drives the impact of vascular disease on ischemic stroke in patients with atrial fibrillation: Role of hypertension and prediabetes.,Atherosclerosis,2024,39438223
Levacetylleucine a game changer for Niemann pick disease,"Letter to the editor: ""Levacetylleucine a game changer for Niemann pick disease type-C"".",Brain & development,2024,39438209
